question_number,question,answer
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,Skopje
1,Во кој град е регистрирана вашата организација?,Tetovo
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Гевгелија
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,Skopje
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Струмица
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Кратово
1,Во кој град е регистрирана вашата организација?,Куманово
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,resen
1,Во кој град е регистрирана вашата организација?,Берово
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Куманово
1,Во кој град е регистрирана вашата организација?,Кавадарци
1,Во кој град е регистрирана вашата организација?,Gevgelija
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Skopje
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,NA
2,На која тематска област работите?,Економски развој
2,На која тематска област работите?,"Деца, млади и студенти, Рурален развој и земјоделство, Образование и наука, Спорт, хоби и рекреација"
2,На која тематска област работите?,"Деца, млади и студенти, Економски развој, Иновации и конкурентност, Рурален развој и земјоделство, Информации и нови медиуми, Образование и наука, Развој на граѓанско општество"
2,На која тематска област работите?,"Здравје и здравство, Информации и нови медиуми, Социјална грижа"
2,На која тематска област работите?,"Економски развој, Рурален развој и земјоделство, Спорт, хоби и рекреација, Други"
2,На која тематска област работите?,Други
2,На која тематска област работите?,Рурален развој и земјоделство
2,На која тематска област работите?,Жени и родови прашања
2,На која тематска област работите?,"Деца, млади и студенти, Жени и родови прашања"
2,На која тематска област работите?,"Деца, млади и студенти, Економски развој, Жени и родови прашања"
2,На која тематска област работите?,Други
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Развој на граѓанско општество"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,Развој на граѓанско општество
2,На која тематска област работите?,"Деца, млади и студенти, Жени и родови прашања"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,"Деца, млади и студенти, Етнички заедници, Развој на граѓанско општество"
2,На која тематска област работите?,"Рурален развој и земјоделство, Други"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,Рурален развој и земјоделство
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Деца, млади и студенти, Развој на граѓанско општество, Ненасилство и толеранција"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Развој на граѓанско општество, Други"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Информации и нови медиуми, Образование и наука, Развој на граѓанско општество"
2,На која тематска област работите?,"Деца, млади и студенти, Економски развој, Иновации и конкурентност, Други"
2,На која тематска област работите?,Жени и родови прашања
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Здравје и здравство, Социјална грижа"
2,На која тематска област работите?,Развој на граѓанско општество
3,Дали имате веб страница?,Не
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Не
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Не
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Не
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Да
3,Дали имате веб страница?,Не
3,Дали имате веб страница?,Да
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на една социјална мрежа"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
4,Дали имате профили на социјални мрежи?,"Да, на повеќе социјални мрежи"
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Не
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,NA
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
5,Дали објавувате годишен наративен извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,"Не сум запознаен/а, Делумно запознаен/а"
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
9,Што сметате дека се отворени податоци?,","
9,Што сметате дека се отворени податоци?,Pa da bidat dostapni za javnosta
9,Што сметате дека се отворени податоци?,NA
9,Што сметате дека се отворени податоци?,NA
9,Што сметате дека се отворени податоци?,Тие што може јавност да ги користи слободно
9,Што сметате дека се отворени податоци?,податоци од јавен карактер кои се достапни за секој
9,Што сметате дека се отворени податоци?,/
9,Што сметате дека се отворени податоци?,податоци од јавен карактер до кои имаме право на пристап на сите
9,Што сметате дека се отворени податоци?,јавно достапни податоци во формат кој може машина да го обработува
9,Што сметате дека се отворени податоци?,"Отворени , целосно јавно достапни податоци"
9,Што сметате дека се отворени податоци?,транспаретно работење
9,Што сметате дека се отворени податоци?,Податоци кои се читливи во машински формат и можат да се обработуваат.
9,Што сметате дека се отворени податоци?,Електронски податоци/документи во машински обработлив формат
9,Што сметате дека се отворени податоци?,NA
9,Што сметате дека се отворени податоци?,Транспарентност
9,Што сметате дека се отворени податоци?,Објава на истражувања и реализирана работа на здружението
9,Што сметате дека се отворени податоци?,"Отворени податоци се машински обработливи податоци, во „необработена форма“ (на нивото од интерес), достапни во отворен формат и достапни на јавноста."
9,Што сметате дека се отворени податоци?,baza na podatocki koi moze da se najdat online
9,Што сметате дека се отворени податоци?,Не сум запознаен
9,Што сметате дека се отворени податоци?,NA
9,Што сметате дека се отворени податоци?,Податоци кои што може слободно да се користат за различни цели
9,Што сметате дека се отворени податоци?,NA
9,Што сметате дека се отворени податоци?,NA
9,Што сметате дека се отворени податоци?,"Податоци кои се слободни за користење, вклучително и во комерцијални цели, без надомест, објавени проактивно (без претходни барања за истите), во соодветен отворен формат (во зависност од видот на податоците)."
9,Што сметате дека се отворени податоци?,Информации од јавен карактер добиени од официјални извори (институции)
9,Што сметате дека се отворени податоци?,Podatoci pristapni za gragjanite
9,Што сметате дека се отворени податоци?,Претпоставувам дека тоа значи дека податоците се достапни за сите заинтересирани страни
9,Што сметате дека се отворени податоци?,NA
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Редовно
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Редовно
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,"Многу малку, Повремено"
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Редовно
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
